gpa,math_score,programming_score,communication_score,technical_skills,career
3.54,70,90,50,"Python,SQL",Web Developer
2.15,81,80,51,"Python,SQL",Data Analyst
2.72,72,46,49,"JavaScript,HTML",Software Engineer
2.23,82,43,71,"R,MATLAB",Machine Learning Engineer
3.73,52,97,55,"Python,SQL",Machine Learning Engineer
3.25,67,92,47,"Java,C++",Data Analyst
2.66,74,89,77,"Network,Security",Data Analyst
2.13,91,84,51,"Python,SQL",Database Administrator
2.62,80,50,63,"Python,SQL",Web Developer
2.65,52,68,67,"JavaScript,HTML",Data Analyst
3.46,89,95,92,"R,MATLAB",Database Administrator
3.28,95,75,47,"Network,Security",UX Designer
3.77,73,64,97,"Java,C++",Cybersecurity Analyst
2.94,99,60,67,"Network,Security",Cybersecurity Analyst
2.24,81,96,75,"Java,C++",UX Designer
3.43,96,75,65,"R,MATLAB",Business Analyst
3.52,71,49,47,"Java,C++",Database Administrator
3.12,72,76,97,"JavaScript,HTML",Database Administrator
3.54,51,48,99,"JavaScript,HTML",UX Designer
2.99,76,63,89,"JavaScript,HTML",Software Engineer
3.05,91,74,67,"JavaScript,HTML",Network Engineer
2.86,51,88,67,"Network,Security",Data Scientist
2.05,75,74,76,"R,MATLAB",UX Designer
2.22,66,87,80,"Java,C++",Data Analyst
2.06,89,75,75,"Java,C++",Data Analyst
3.27,82,57,66,"JavaScript,HTML",Web Developer
2.63,58,88,93,"JavaScript,HTML",UX Designer
3.02,92,78,56,"Python,SQL",Web Developer
3.82,97,71,48,"R,MATLAB",UX Designer
2.5,88,63,72,"Network,Security",Database Administrator
2.82,78,62,92,"Java,C++",Data Scientist
3.51,91,71,59,"Python,SQL",Database Administrator
2.46,75,76,52,"Python,SQL",Network Engineer
2.15,84,51,67,"Java,C++",Cybersecurity Analyst
2.58,99,88,87,"Network,Security",Machine Learning Engineer
2.32,74,94,68,"Python,SQL",UX Designer
3.86,73,52,52,"Python,SQL",Network Engineer
3.62,62,62,85,"R,MATLAB",Cybersecurity Analyst
3.27,56,64,74,"Network,Security",Business Analyst
3.74,85,74,45,"Python,SQL",Data Scientist
3.61,94,80,57,"Network,Security",Web Developer
2.37,69,69,90,"Java,C++",Web Developer
3.79,50,56,44,"JavaScript,HTML",Database Administrator
3.08,57,88,86,"Python,SQL",Data Analyst
3.61,95,59,64,"R,MATLAB",Cybersecurity Analyst
3.79,65,87,41,"Java,C++",Business Analyst
2.64,63,64,49,"Network,Security",Network Engineer
2.22,61,61,95,"Java,C++",Data Scientist
2.46,72,52,69,"Python,SQL",Cybersecurity Analyst
2.85,64,98,89,"Network,Security",Business Analyst
3.64,77,58,98,"JavaScript,HTML",Machine Learning Engineer
3.72,83,88,84,"Java,C++",UX Designer
2.01,51,75,44,"Python,SQL",Web Developer
3.02,81,51,94,"R,MATLAB",Network Engineer
2.83,72,80,95,"Network,Security",Web Developer
2.44,71,58,72,"Java,C++",Network Engineer
2.24,74,51,93,"Java,C++",Database Administrator
2.68,71,48,40,"JavaScript,HTML",Data Analyst
3.89,71,46,57,"JavaScript,HTML",Network Engineer
2.65,98,67,71,"R,MATLAB",Web Developer
3.04,91,53,86,"R,MATLAB",Database Administrator
3.41,55,70,88,"Python,SQL",Network Engineer
2.73,64,91,50,"Python,SQL",Machine Learning Engineer
3.94,92,58,60,"R,MATLAB",Data Analyst
3.92,86,97,65,"R,MATLAB",Network Engineer
2.5,82,86,64,"Network,Security",Database Administrator
2.99,57,55,61,"JavaScript,HTML",Cybersecurity Analyst
2.6,93,92,98,"Python,SQL",Software Engineer
2.57,93,44,66,"JavaScript,HTML",Business Analyst
2.07,54,74,88,"JavaScript,HTML",Software Engineer
3.22,88,51,52,"R,MATLAB",Software Engineer
3.01,53,64,72,"Network,Security",Data Scientist
2.1,55,91,73,"Java,C++",Machine Learning Engineer
2.56,94,98,80,"Network,Security",Cybersecurity Analyst
3.82,81,60,74,"Network,Security",UX Designer
2.48,79,75,40,"JavaScript,HTML",Network Engineer
2.29,96,92,60,"Network,Security",Business Analyst
2.98,84,62,87,"Python,SQL",Data Analyst
3.97,89,55,94,"JavaScript,HTML",Cybersecurity Analyst
2.48,65,96,45,"Python,SQL",Web Developer
3.34,62,78,67,"Java,C++",UX Designer
3.52,99,84,56,"JavaScript,HTML",Data Scientist
2.48,91,92,44,"Java,C++",Data Scientist
3.46,79,81,70,"JavaScript,HTML",Cybersecurity Analyst
2.74,68,97,44,"R,MATLAB",Database Administrator
3.26,66,78,77,"Network,Security",Software Engineer
3.27,68,53,42,"R,MATLAB",Web Developer
3.07,77,70,92,"Java,C++",Data Scientist
2.18,75,97,62,"Network,Security",Business Analyst
3.67,86,44,76,"JavaScript,HTML",Data Scientist
2.64,75,74,92,"Network,Security",Data Analyst
2.37,72,62,76,"Python,SQL",Network Engineer
2.08,58,68,49,"Network,Security",Data Scientist
3.18,61,82,49,"Python,SQL",Data Analyst
3.36,50,50,58,"Network,Security",Cybersecurity Analyst
2.03,50,57,56,"Python,SQL",Cybersecurity Analyst
3.02,96,86,60,"Java,C++",UX Designer
2.45,83,51,53,"R,MATLAB",Data Scientist
3.29,81,48,48,"JavaScript,HTML",Business Analyst
2.35,97,49,85,"Network,Security",Data Scientist
3.38,74,97,40,"R,MATLAB",Business Analyst
2.77,89,83,90,"JavaScript,HTML",Machine Learning Engineer
3.87,94,56,84,"JavaScript,HTML",UX Designer
2.28,50,77,52,"Python,SQL",Machine Learning Engineer
2.68,65,46,43,"Java,C++",Data Scientist
2.23,88,85,40,"Java,C++",UX Designer
3.85,54,52,88,"R,MATLAB",Machine Learning Engineer
3.75,71,79,79,"Java,C++",Software Engineer
2.52,78,81,71,"Network,Security",Data Scientist
3.32,52,48,73,"Java,C++",Machine Learning Engineer
3.63,61,89,67,"R,MATLAB",Software Engineer
3.11,75,66,70,"Java,C++",Software Engineer
3.06,65,97,47,"Network,Security",Cybersecurity Analyst
2.48,86,41,78,"Python,SQL",Data Scientist
2.19,71,44,65,"R,MATLAB",Software Engineer
3.79,78,68,97,"Python,SQL",Cybersecurity Analyst
3.8,63,76,73,"Python,SQL",Machine Learning Engineer
3.27,77,77,93,"Python,SQL",Data Analyst
2.68,54,58,93,"JavaScript,HTML",Data Scientist
2.7,96,47,42,"JavaScript,HTML",UX Designer
3.45,98,87,98,"Python,SQL",Business Analyst
3.79,79,84,89,"R,MATLAB",Business Analyst
3.77,95,40,51,"Network,Security",Machine Learning Engineer
3.56,54,61,40,"Network,Security",Database Administrator
