gpa,technical_skills,interests,career_label
56.27,"Networking,Linux/Unix",Network,Network Engineer
98.01,"Data Analysis,Data Visualization",Data,Data Analyst
89.7,"Linux/Unix,SQL",Database,Database Administrator
57.37,"SQL,Machine Learning",Data,Data Scientist
54.74,"Linux/Unix,SQL",Database,Database Administrator
85.75,"Data Visualization,Creativity",UX,UX Designer
53.94,"Python,Machine Learning",Data,Data Scientist
89.2,"Linux/Unix,Database Management",Database,Database Administrator
99.72,"Networking,Docker",Network,Network Engineer
89.47,"Data Visualization,Communication",UX,UX Designer
64.18,"Creativity,Data Visualization",UX,UX Designer
51.03,"SQL,Linux/Unix",Database,Database Administrator
96.49,"Database Management,Linux/Unix",Database,Database Administrator
90.52,"Communication,Data Visualization",UX,UX Designer
78.36,"Data Visualization,Creativity",UX,UX Designer
75.46,"Database Management,SQL",Database,Database Administrator
73.34,"Linux/Unix,Docker",Network,Network Engineer
69.46,"Python,Machine Learning",Machine,Machine Learning Engineer
69.86,"Creativity,Data Visualization",UX,UX Designer
65.06,"Data Visualization,Creativity",UX,UX Designer
50.65,"Machine Learning,Deep Learning",Machine,Machine Learning Engineer
54.67,"Docker,Networking",Network,Network Engineer
96.57,"Networking,Linux/Unix",Network,Network Engineer
92.15,"Docker,Linux/Unix",Network,Network Engineer
94.85,"Web Development,JavaScript",Web,Web Developer
74.28,"Linux/Unix,Cybersecurity",Cybersecurity,Cybersecurity Analyst
58.85,"Networking,Docker",Network,Network Engineer
93.4,"Data Visualization,SQL",Data,Data Analyst
63.8,"Linux/Unix,Networking",Cybersecurity,Cybersecurity Analyst
67.48,"Linux/Unix,Networking",Cybersecurity,Cybersecurity Analyst
65.35,"Data Analysis,SQL",Data,Data Analyst
91.5,"Networking,Linux/Unix",Cybersecurity,Cybersecurity Analyst
76.14,"Data Visualization,SQL",Data,Data Analyst
87.41,"SQL,Python",Data,Data Scientist
93.23,"Docker,Networking",Network,Network Engineer
85.95,"C++,Java",Software,Software Engineer
96.08,"Linux/Unix,Networking",Cybersecurity,Cybersecurity Analyst
91.49,"Communication,Data Analysis",Business,Business Analyst
72.08,"Linux/Unix,Docker",Network,Network Engineer
90.84,"Linux/Unix,Database Management",Database,Database Administrator
99.84,"Git,Web Development",Web,Web Developer
78.59,"SQL,Data Visualization",Data,Data Analyst
83.38,"Database Management,SQL",Database,Database Administrator
98.96,"Data Analysis,SQL",Data,Data Analyst
57.32,"Communication,Creativity",UX,UX Designer
99.37,"Linux/Unix,Networking",Cybersecurity,Cybersecurity Analyst
56.23,"Docker,Networking",Network,Network Engineer
65.76,"Creativity,Data Visualization",UX,UX Designer
97.03,"Git,Java",Software,Software Engineer
54.12,"Cybersecurity,Linux/Unix",Cybersecurity,Cybersecurity Analyst
68.24,"Docker,Linux/Unix",Network,Network Engineer
92.69,"C++,Java",Software,Software Engineer
56.87,"Python,SQL",Data,Data Scientist
57.88,"SQL,Communication",Business,Business Analyst
70.11,"Networking,Linux/Unix",Network,Network Engineer
72.66,"Data Analysis,Data Visualization",Data,Data Analyst
66.9,"SQL,Machine Learning",Data,Data Scientist
68.61,"Data Visualization,Data Analysis",Data,Data Analyst
57.15,"Web Development,JavaScript",Web,Web Developer
60.68,"SQL,Data Analysis",Data,Data Analyst
64.81,"Git,Java",Software,Software Engineer
92.0,"Data Visualization,Communication",UX,UX Designer
50.03,"Git,Web Development",Web,Web Developer
92.76,"Communication,SQL",Business,Business Analyst
54.24,"Networking,Linux/Unix",Network,Network Engineer
50.62,"Networking,Docker",Network,Network Engineer
79.9,"Data Visualization,Communication",UX,UX Designer
69.94,"SQL,Data Visualization",Data,Data Analyst
68.91,"Data Visualization,Creativity",UX,UX Designer
80.51,"SQL,Database Management",Database,Database Administrator
85.75,"Creativity,Data Visualization",UX,UX Designer
82.17,"Data Visualization,Communication",UX,UX Designer
58.01,"Creativity,Data Visualization",UX,UX Designer
77.51,"Data Analysis,SQL",Business,Business Analyst
86.69,"JavaScript,Git",Web,Web Developer
84.36,"C++,Git",Software,Software Engineer
94.45,"Docker,Networking",Network,Network Engineer
51.85,"Networking,Cybersecurity",Cybersecurity,Cybersecurity Analyst
75.14,"Linux/Unix,SQL",Database,Database Administrator
72.38,"Git,JavaScript",Web,Web Developer
76.93,"SQL,Data Analysis",Data,Data Analyst
69.86,"Linux/Unix,Database Management",Database,Database Administrator
78.07,"Java,C++",Software,Software Engineer
97.82,"Machine Learning,Deep Learning",Machine,Machine Learning Engineer
84.99,"Java,Git",Software,Software Engineer
92.84,"JavaScript,Web Development",Web,Web Developer
72.48,"Networking,Linux/Unix",Cybersecurity,Cybersecurity Analyst
94.16,"Machine Learning,Python",Machine,Machine Learning Engineer
92.49,"Data Analysis,SQL",Data,Data Analyst
72.62,"Cybersecurity,Linux/Unix",Cybersecurity,Cybersecurity Analyst
72.05,"Networking,Cybersecurity",Cybersecurity,Cybersecurity Analyst
96.34,"SQL,Python",Data,Data Scientist
76.21,"Communication,SQL",Business,Business Analyst
96.92,"Git,JavaScript",Web,Web Developer
63.9,"Deep Learning,Python",Machine,Machine Learning Engineer
77.35,"Java,C++",Software,Software Engineer
72.89,"Database Management,Linux/Unix",Database,Database Administrator
86.71,"C++,Java",Software,Software Engineer
67.66,"C++,Git",Software,Software Engineer
92.41,"Java,C++",Software,Software Engineer
93.74,"Java,Git",Software,Software Engineer
85.53,"Linux/Unix,Docker",Network,Network Engineer
85.99,"Data Analysis,Data Visualization",Data,Data Analyst
70.38,"Data Visualization,Creativity",UX,UX Designer
59.54,"SQL,Database Management",Database,Database Administrator
73.22,"Networking,Linux/Unix",Cybersecurity,Cybersecurity Analyst
57.34,"Deep Learning,Python",Machine,Machine Learning Engineer
97.08,"Java,Git",Software,Software Engineer
98.04,"Python,Machine Learning",Data,Data Scientist
66.61,"C++,Git",Software,Software Engineer
80.88,"Communication,Data Analysis",Business,Business Analyst
80.89,"C++,Git",Software,Software Engineer
87.35,"Python,Deep Learning",Machine,Machine Learning Engineer
90.16,"Git,C++",Software,Software Engineer
63.07,"Linux/Unix,Cybersecurity",Cybersecurity,Cybersecurity Analyst
78.04,"Creativity,Communication",UX,UX Designer
53.96,"Git,Java",Software,Software Engineer
94.32,"Git,JavaScript",Web,Web Developer
85.87,"Machine Learning,SQL",Data,Data Scientist
79.14,"Git,Web Development",Web,Web Developer
70.26,"Linux/Unix,Networking",Network,Network Engineer
82.61,"Java,Git",Software,Software Engineer
82.33,"Machine Learning,SQL",Data,Data Scientist
94.1,"Docker,Networking",Network,Network Engineer
98.65,"Git,C++",Software,Software Engineer
79.63,"Linux/Unix,Cybersecurity",Cybersecurity,Cybersecurity Analyst
82.95,"Cybersecurity,Linux/Unix",Cybersecurity,Cybersecurity Analyst
83.77,"Docker,Networking",Network,Network Engineer
90.21,"Python,SQL",Data,Data Scientist
69.33,"SQL,Data Analysis",Business,Business Analyst
52.54,"Machine Learning,SQL",Data,Data Scientist
68.81,"Networking,Linux/Unix",Network,Network Engineer
95.83,"Networking,Linux/Unix",Cybersecurity,Cybersecurity Analyst
94.5,"SQL,Linux/Unix",Database,Database Administrator
91.4,"Python,Machine Learning",Machine,Machine Learning Engineer
80.96,"SQL,Communication",Business,Business Analyst
97.6,"C++,Git",Software,Software Engineer
68.68,"SQL,Data Analysis",Business,Business Analyst
58.64,"Networking,Cybersecurity",Cybersecurity,Cybersecurity Analyst
90.89,"Data Visualization,Communication",UX,UX Designer
83.46,"C++,Git",Software,Software Engineer
93.42,"Git,C++",Software,Software Engineer
71.44,"Machine Learning,Deep Learning",Machine,Machine Learning Engineer
94.73,"Data Analysis,Communication",Business,Business Analyst
84.49,"Networking,Cybersecurity",Cybersecurity,Cybersecurity Analyst
98.48,"Data Analysis,SQL",Data,Data Analyst
60.13,"Docker,Linux/Unix",Network,Network Engineer
88.18,"Machine Learning,Python",Data,Data Scientist
59.66,"Communication,Creativity",UX,UX Designer
58.02,"C++,Git",Software,Software Engineer
69.58,"SQL,Data Analysis",Data,Data Analyst
92.78,"Linux/Unix,Networking",Cybersecurity,Cybersecurity Analyst
75.96,"Linux/Unix,Database Management",Database,Database Administrator
96.16,"Java,Git",Software,Software Engineer
65.9,"Linux/Unix,SQL",Database,Database Administrator
50.8,"Linux/Unix,Networking",Cybersecurity,Cybersecurity Analyst
81.18,"Web Development,JavaScript",Web,Web Developer
53.96,"Database Management,Linux/Unix",Database,Database Administrator
72.38,"SQL,Data Visualization",Data,Data Analyst
70.59,"SQL,Data Analysis",Business,Business Analyst
55.62,"Data Visualization,Data Analysis",Data,Data Analyst
57.52,"SQL,Python",Data,Data Scientist
92.82,"Database Management,Linux/Unix",Database,Database Administrator
95.18,"Web Development,Git",Web,Web Developer
93.39,"Python,SQL",Data,Data Scientist
75.0,"Git,JavaScript",Web,Web Developer
88.97,"Python,SQL",Data,Data Scientist
89.8,"Networking,Docker",Network,Network Engineer
99.92,"SQL,Machine Learning",Data,Data Scientist
65.23,"Cybersecurity,Linux/Unix",Cybersecurity,Cybersecurity Analyst
70.52,"Data Analysis,Communication",Business,Business Analyst
52.76,"SQL,Database Management",Database,Database Administrator
58.46,"Deep Learning,Machine Learning",Machine,Machine Learning Engineer
65.11,"Communication,SQL",Business,Business Analyst
88.61,"Data Visualization,Data Analysis",Data,Data Analyst
57.96,"Python,SQL",Data,Data Scientist
54.26,"Linux/Unix,Docker",Network,Network Engineer
84.7,"Database Management,Linux/Unix",Database,Database Administrator
76.01,"Data Visualization,Data Analysis",Data,Data Analyst
58.46,"C++,Java",Software,Software Engineer
97.39,"Machine Learning,Python",Data,Data Scientist
56.9,"Git,C++",Software,Software Engineer
62.49,"SQL,Communication",Business,Business Analyst
65.03,"Machine Learning,Deep Learning",Machine,Machine Learning Engineer
74.63,"Data Analysis,Data Visualization",Data,Data Analyst
72.11,"Linux/Unix,Cybersecurity",Cybersecurity,Cybersecurity Analyst
93.3,"Git,JavaScript",Web,Web Developer
80.09,"Docker,Networking",Network,Network Engineer
79.37,"JavaScript,Git",Web,Web Developer
63.27,"Linux/Unix,Database Management",Database,Database Administrator
87.78,"Machine Learning,Deep Learning",Machine,Machine Learning Engineer
65.63,"Communication,Data Visualization",UX,UX Designer
53.86,"Web Development,JavaScript",Web,Web Developer
97.55,"SQL,Linux/Unix",Database,Database Administrator
73.14,"JavaScript,Git",Web,Web Developer
97.65,"Communication,Data Visualization",UX,UX Designer
57.81,"Data Visualization,Creativity",UX,UX Designer
76.13,"Python,Machine Learning",Machine,Machine Learning Engineer
66.94,"Communication,SQL",Business,Business Analyst
74.19,"Linux/Unix,Docker",Network,Network Engineer
94.24,"Data Analysis,Data Visualization",Data,Data Analyst
82.18,"Linux/Unix,SQL",Database,Database Administrator
58.25,"Java,C++",Software,Software Engineer
54.93,"Machine Learning,Python",Data,Data Scientist
78.71,"Data Visualization,SQL",Data,Data Analyst
80.08,"Data Analysis,Communication",Business,Business Analyst
52.69,"Data Analysis,Communication",Business,Business Analyst
82.17,"Linux/Unix,SQL",Database,Database Administrator
85.08,"Database Management,Linux/Unix",Database,Database Administrator
51.14,"Python,Deep Learning",Machine,Machine Learning Engineer
79.73,"SQL,Data Analysis",Data,Data Analyst
67.77,"SQL,Linux/Unix",Database,Database Administrator
51.81,"SQL,Communication",Business,Business Analyst
96.91,"SQL,Machine Learning",Data,Data Scientist
62.98,"Machine Learning,Deep Learning",Machine,Machine Learning Engineer
86.17,"Git,C++",Software,Software Engineer
62.83,"Data Visualization,Communication",UX,UX Designer
58.9,"Docker,Networking",Network,Network Engineer
71.17,"SQL,Data Analysis",Business,Business Analyst
95.58,"Linux/Unix,Networking",Network,Network Engineer
78.9,"Communication,Data Visualization",UX,UX Designer
67.89,"Python,Machine Learning",Machine,Machine Learning Engineer
72.21,"SQL,Data Visualization",Data,Data Analyst
54.39,"Data Visualization,SQL",Data,Data Analyst
91.28,"SQL,Communication",Business,Business Analyst
92.58,"Machine Learning,Deep Learning",Machine,Machine Learning Engineer
59.26,"JavaScript,Git",Web,Web Developer
83.39,"Data Visualization,Creativity",UX,UX Designer
89.64,"Python,Machine Learning",Machine,Machine Learning Engineer
55.36,"Communication,Data Visualization",UX,UX Designer
74.94,"Data Analysis,SQL",Business,Business Analyst
66.31,"Data Visualization,Communication",UX,UX Designer
55.84,"Git,JavaScript",Web,Web Developer
61.21,"Web Development,Git",Web,Web Developer
99.15,"Database Management,SQL",Database,Database Administrator
68.52,"Java,Git",Software,Software Engineer
84.65,"JavaScript,Git",Web,Web Developer
56.28,"Web Development,JavaScript",Web,Web Developer
76.28,"SQL,Data Visualization",Data,Data Analyst
84.23,"SQL,Data Analysis",Data,Data Analyst
62.0,"Data Analysis,Communication",Business,Business Analyst
93.17,"Communication,Data Analysis",Business,Business Analyst
74.31,"Database Management,SQL",Database,Database Administrator
55.55,"Java,Git",Software,Software Engineer
87.4,"Database Management,Linux/Unix",Database,Database Administrator
93.3,"Linux/Unix,Cybersecurity",Cybersecurity,Cybersecurity Analyst
72.58,"SQL,Communication",Business,Business Analyst
66.65,"Git,JavaScript",Web,Web Developer
89.73,"Python,Machine Learning",Data,Data Scientist
80.95,"JavaScript,Git",Web,Web Developer
61.96,"Communication,SQL",Business,Business Analyst
89.41,"Machine Learning,Python",Data,Data Scientist
85.95,"Networking,Linux/Unix",Cybersecurity,Cybersecurity Analyst
91.99,"Java,C++",Software,Software Engineer
72.3,"Java,C++",Software,Software Engineer
69.72,"Linux/Unix,Docker",Network,Network Engineer
69.34,"Deep Learning,Python",Machine,Machine Learning Engineer
65.81,"SQL,Data Analysis",Data,Data Analyst
96.07,"Data Visualization,Creativity",UX,UX Designer
93.33,"Python,Deep Learning",Machine,Machine Learning Engineer
72.62,"Linux/Unix,Networking",Network,Network Engineer
85.77,"Communication,Creativity",UX,UX Designer
74.99,"Linux/Unix,Docker",Network,Network Engineer
75.5,"C++,Java",Software,Software Engineer
80.06,"Data Analysis,Data Visualization",Data,Data Analyst
72.15,"Docker,Networking",Network,Network Engineer
68.24,"Networking,Linux/Unix",Cybersecurity,Cybersecurity Analyst
67.55,"Git,C++",Software,Software Engineer
68.95,"Linux/Unix,Networking",Cybersecurity,Cybersecurity Analyst
59.17,"Communication,SQL",Business,Business Analyst
91.1,"Data Visualization,Communication",UX,UX Designer
62.31,"Data Visualization,Data Analysis",Data,Data Analyst
79.45,"Data Analysis,SQL",Business,Business Analyst
76.81,"Python,Deep Learning",Machine,Machine Learning Engineer
61.28,"Networking,Cybersecurity",Cybersecurity,Cybersecurity Analyst
62.93,"Data Visualization,Creativity",UX,UX Designer
92.28,"Deep Learning,Python",Machine,Machine Learning Engineer
62.72,"C++,Git",Software,Software Engineer
87.61,"SQL,Linux/Unix",Database,Database Administrator
57.85,"Communication,Creativity",UX,UX Designer
52.1,"Networking,Linux/Unix",Network,Network Engineer
97.24,"Java,Git",Software,Software Engineer
73.73,"SQL,Data Analysis",Data,Data Analyst
71.02,"Data Visualization,SQL",Data,Data Analyst
65.9,"SQL,Python",Data,Data Scientist
98.6,"Data Analysis,Communication",Business,Business Analyst
56.88,"Communication,Data Analysis",Business,Business Analyst
70.4,"Networking,Linux/Unix",Network,Network Engineer
66.02,"Linux/Unix,Networking",Cybersecurity,Cybersecurity Analyst
75.25,"Communication,SQL",Business,Business Analyst
77.27,"Data Analysis,Data Visualization",Data,Data Analyst
89.04,"Machine Learning,Deep Learning",Machine,Machine Learning Engineer
80.7,"SQL,Data Analysis",Data,Data Analyst
53.37,"SQL,Machine Learning",Data,Data Scientist
81.13,"Networking,Linux/Unix",Cybersecurity,Cybersecurity Analyst
72.58,"SQL,Linux/Unix",Database,Database Administrator
58.66,"Docker,Linux/Unix",Network,Network Engineer
76.75,"Communication,Data Analysis",Business,Business Analyst
96.38,"JavaScript,Web Development",Web,Web Developer
63.28,"Deep Learning,Machine Learning",Machine,Machine Learning Engineer
95.37,"Machine Learning,Deep Learning",Machine,Machine Learning Engineer
84.49,"Linux/Unix,Cybersecurity",Cybersecurity,Cybersecurity Analyst
58.71,"Machine Learning,Python",Machine,Machine Learning Engineer
59.51,"Networking,Linux/Unix",Cybersecurity,Cybersecurity Analyst
98.79,"Machine Learning,SQL",Data,Data Scientist
79.99,"Networking,Docker",Network,Network Engineer
51.85,"Linux/Unix,Networking",Network,Network Engineer
75.76,"Data Visualization,Creativity",UX,UX Designer
85.77,"Python,Deep Learning",Machine,Machine Learning Engineer
73.28,"Data Analysis,Communication",Business,Business Analyst
55.75,"Database Management,Linux/Unix",Database,Database Administrator
62.22,"Database Management,SQL",Database,Database Administrator
74.24,"Cybersecurity,Linux/Unix",Cybersecurity,Cybersecurity Analyst
80.36,"Cybersecurity,Linux/Unix",Cybersecurity,Cybersecurity Analyst
66.74,"SQL,Linux/Unix",Database,Database Administrator
60.49,"Java,C++",Software,Software Engineer
50.34,"Machine Learning,Deep Learning",Machine,Machine Learning Engineer
81.56,"Git,JavaScript",Web,Web Developer
53.1,"Git,C++",Software,Software Engineer
90.87,"Docker,Linux/Unix",Network,Network Engineer
87.76,"Git,C++",Software,Software Engineer
86.21,"Linux/Unix,SQL",Database,Database Administrator
78.02,"Docker,Networking",Network,Network Engineer
56.76,"Python,Deep Learning",Machine,Machine Learning Engineer
65.33,"SQL,Data Analysis",Data,Data Analyst
87.07,"Database Management,Linux/Unix",Database,Database Administrator
75.7,"SQL,Python",Data,Data Scientist
57.88,"Communication,SQL",Business,Business Analyst
78.12,"Machine Learning,Python",Data,Data Scientist
99.68,"Linux/Unix,Networking",Network,Network Engineer
